method,task,learner,dpc,k,num_synthetic_examples,metric,score,score_std,accuracy_mean,accuracy_std,f1_mean,f1_std,macro_f1_mean,macro_f1_std,n_dataset,seed,selection_time_sec,eval_time_sec,elapsed_sec_mean,runs,source_path
k_centers,ag_news,roberta-large,10,40,40,accuracy,0.8566666666666666,,0.8566666666666666,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,roberta-large,20,80,80,accuracy,0.8666228070175438,,0.8666228070175438,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,roberta-large,50,200,200,accuracy,0.8895614035087719,,0.8895614035087719,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,roberta-large,100,400,400,accuracy,0.8853947368421053,,0.8853947368421053,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,roberta-large,500,2000,2000,accuracy,0.9059649122807018,,0.9059649122807018,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,roberta-large,1000,4000,4000,accuracy,0.9186842105263158,,0.9186842105263158,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,xlnet-base-cased,1,4,4,accuracy,0.6692543859649124,,0.6692543859649124,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,xlnet-base-cased,5,20,20,accuracy,0.8153508771929826,,0.8153508771929826,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,xlnet-base-cased,10,40,40,accuracy,0.8305263157894737,,0.8305263157894737,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,xlnet-base-cased,20,80,80,accuracy,0.8513157894736842,,0.8513157894736842,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,xlnet-base-cased,50,200,200,accuracy,0.8728947368421053,,0.8728947368421053,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,xlnet-base-cased,100,400,400,accuracy,0.8868859649122808,,0.8868859649122808,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,xlnet-base-cased,500,2000,2000,accuracy,0.904122807017544,,0.904122807017544,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,xlnet-base-cased,1000,4000,4000,accuracy,0.9153947368421052,,0.9153947368421052,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,albert-base-v2,1,2,2,accuracy,0.4904434250764526,,0.4904434250764526,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,albert-base-v2,5,10,10,accuracy,0.6456422018348623,,0.6456422018348623,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,albert-base-v2,10,20,20,accuracy,0.5535168195718655,,0.5535168195718655,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,albert-base-v2,20,40,40,accuracy,0.6368501529051988,,0.6368501529051988,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,albert-base-v2,50,100,100,accuracy,0.7866972477064221,,0.7866972477064221,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,albert-base-v2,100,200,200,accuracy,0.8146024464831805,,0.8146024464831805,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,albert-base-v2,500,1000,1000,accuracy,0.8421253822629969,,0.8421253822629969,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,albert-base-v2,1000,2000,2000,accuracy,0.8593272171253822,,0.8593272171253822,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,bert-base-uncased,1,2,2,accuracy,0.5913608562691132,,0.5913608562691132,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,bert-base-uncased,5,10,10,accuracy,0.7175076452599388,,0.7175076452599388,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,bert-base-uncased,10,20,20,accuracy,0.7450305810397553,,0.7450305810397553,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,bert-base-uncased,20,40,40,accuracy,0.7889908256880734,,0.7889908256880734,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,bert-base-uncased,50,100,100,accuracy,0.8111620795107034,,0.8111620795107034,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,bert-base-uncased,100,200,200,accuracy,0.8425076452599388,,0.8425076452599388,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,bert-base-uncased,500,1000,1000,accuracy,0.8769113149847095,,0.8769113149847095,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,bert-base-uncased,1000,2000,2000,accuracy,0.8883792048929663,,0.8883792048929663,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,bert-large-uncased,1,2,2,accuracy,0.5672782874617738,,0.5672782874617738,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,bert-large-uncased,5,10,10,accuracy,0.6697247706422017,,0.6697247706422017,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,bert-large-uncased,10,20,20,accuracy,0.6995412844036698,,0.6995412844036698,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,bert-large-uncased,20,40,40,accuracy,0.8176605504587157,,0.8176605504587157,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
