method,task,learner,dpc,k,n_dataset,seed,selection_time_sec,eval_time_sec,metric,accuracy_mean,accuracy_std,scores,combined_score_mean,combined_score_std,score,score_std
herding,mnli,microsoft/deberta-v3-base,50,150,1,42,0.0,80.3,accuracy,0.4914246901001868,0.04880092659200119,"[0.49730005094243507, 0.5480387162506368, 0.42893530310748856]",,,0.4914246901001868,0.04880092659200119
herding,mnli,microsoft/deberta-v3-base,100,300,1,42,0.0,86.0,accuracy,0.7254881983358805,0.009644263917235857,"[0.7169638308711156, 0.7205298013245033, 0.7389709628120225]",,,0.7254881983358805,0.009644263917235857
herding,mnli,microsoft/deberta-v3-base,500,1500,1,42,0.0,93.2,accuracy,0.8100866021395823,0.009945480343823476,"[0.7966377992868059, 0.8132450331125828, 0.8203769740193582]",,,0.8100866021395823,0.009945480343823476
herding,mnli,microsoft/deberta-v3-base,1000,3000,1,42,0.0,91.4,accuracy,0.8342672779758873,0.0032702063147456435,"[0.8312786551197148, 0.8327050433010698, 0.8388181355068772]",,,0.8342672779758873,0.0032702063147456435
herding,mnli,roberta-base,1,3,1,42,0.0,42.5,accuracy,0.3339446425539141,0.0069103350030998165,"[0.32694854814060115, 0.3315333672949567, 0.3433520122261844]",,,0.3339446425539141,0.0069103350030998165
herding,mnli,roberta-base,5,15,1,42,0.0,42.0,accuracy,0.3877058923416539,0.014643171358266807,"[0.40815078960774326, 0.3746306673458991, 0.3803362200713194]",,,0.3877058923416539,0.014643171358266807
herding,mnli,roberta-base,10,30,1,42,0.0,43.3,accuracy,0.3839021905247071,0.01935615901927945,"[0.36169128884360674, 0.3811512990320937, 0.4088639836984208]",,,0.3839021905247071,0.01935615901927945
herding,mnli,roberta-base,20,60,1,42,205.3,49.3,accuracy,0.41633554083885205,0.02856101854920454,"[0.4521650534895568, 0.41456953642384103, 0.38227203260315845]",,,0.41633554083885205,0.02856101854920454
herding,mnli,roberta-base,50,150,1,42,754.6,48.9,accuracy,0.5045678383426728,0.025130729287786594,"[0.5147223637289863, 0.46999490575649516, 0.5289862455425369]",,,0.5045678383426728,0.025130729287786594
herding,mnli,roberta-base,100,300,1,42,929.0,49.9,accuracy,0.5959925284428595,0.0257552287333573,"[0.5744268976057055, 0.5813550687722873, 0.6321956189505858]",,,0.5959925284428595,0.0257552287333573
herding,mnli,roberta-base,500,1500,1,42,2696.7,51.1,accuracy,0.7421633554083886,0.005746844574705103,"[0.7384615384615385, 0.7377483443708609, 0.7502801833927661]",,,0.7421633554083886,0.005746844574705103
herding,mnli,roberta-base,1000,3000,1,42,4877.9,52.2,accuracy,0.7746985905926304,0.004692852459421611,"[0.7696383087111563, 0.7735099337748345, 0.7809475292919001]",,,0.7746985905926304,0.004692852459421611
herding,mnli,roberta-large,1,3,1,42,0.0,83.2,accuracy,0.3290202071659025,0.004326876089966519,"[0.33438614365766683, 0.32888436067244015, 0.3237901171676006]",,,0.3290202071659025,0.004326876089966519
herding,mnli,roberta-large,5,15,1,42,0.0,83.3,accuracy,0.3715061979962642,0.010492767677950088,"[0.374223127865512, 0.3827814569536424, 0.3575140091696383]",,,0.3715061979962642,0.010492767677950088
herding,mnli,roberta-large,10,30,1,42,0.0,83.3,accuracy,0.36702326371200544,0.01909797096119772,"[0.34070300560366784, 0.37493632195618953, 0.38543046357615895]",,,0.36702326371200544,0.01909797096119772
herding,mnli,roberta-large,20,60,1,42,108.0,97.2,accuracy,0.5110545084055018,0.04480950177638285,"[0.44921039225674986, 0.5300050942435048, 0.5539480387162506]",,,0.5110545084055018,0.04480950177638285
herding,mnli,roberta-large,50,150,1,42,706.7,101.0,accuracy,0.5749023603328239,0.04298304664954394,"[0.5480387162506368, 0.541110545084055, 0.6355578196637799]",,,0.5749023603328239,0.04298304664954394
herding,mnli,roberta-large,100,300,1,42,877.0,111.5,accuracy,0.6746816097809476,0.05415491539259435,"[0.7045338767193072, 0.7208354559347937, 0.5986754966887418]",,,0.6746816097809476,0.05415491539259435
herding,mnli,roberta-large,500,1500,1,42,2635.0,115.1,accuracy,0.798981151299032,0.0018358134490391435,"[0.7987773815588385, 0.7968415690269995, 0.8013245033112583]",,,0.798981151299032,0.0018358134490391435
herding,mnli,roberta-large,1000,3000,1,42,4814.0,112.8,accuracy,0.7958227203260316,0.042294126441068086,"[0.7360163015792155, 0.8264900662251655, 0.8249617931737137]",,,0.7958227203260316,0.042294126441068086
herding,mnli,xlnet-base-cased,1,3,1,42,0.0,99.6,accuracy,0.3505179147563253,0.00954255141329741,"[0.34508405501782985, 0.34253693326541007, 0.3639327559857361]",,,0.3505179147563253,0.00954255141329741
herding,mnli,xlnet-base-cased,5,15,1,42,0.0,103.0,accuracy,0.3805060281881474,0.013665829775423985,"[0.38991339786041773, 0.3904228222109017, 0.3611818644931228]",,,0.3805060281881474,0.013665829775423985
herding,mnli,xlnet-base-cased,10,30,1,42,0.0,106.9,accuracy,0.3682798437765325,0.011719073160775523,"[0.36189505858380033, 0.3847172694854814, 0.3582272032603158]",,,0.3682798437765325,0.011719073160775523
herding,mnli,xlnet-base-cased,20,60,1,42,0.0,112.9,accuracy,0.40927152317880794,0.007000214756210698,"[0.41283749363219563, 0.39949057564951607, 0.4154865002547122]",,,0.40927152317880794,0.007000214756210698
herding,mnli,xlnet-base-cased,50,150,1,42,0.0,115.5,accuracy,0.43358804550857527,0.02535293757697904,"[0.4109016811003566, 0.4208863983698421, 0.46897605705552725]",,,0.43358804550857527,0.02535293757697904
herding,mnli,xlnet-base-cased,100,300,1,42,0.0,123.4,accuracy,0.5403633893700119,0.013517920676688186,"[0.5388690779419256, 0.5576158940397351, 0.524605196128375]",,,0.5403633893700119,0.013517920676688186
herding,mnli,xlnet-base-cased,500,1500,1,42,0.0,129.4,accuracy,0.6943793513329938,0.005663145248392514,"[0.691492613346918, 0.6893530310748853, 0.7022924095771778]",,,0.6943793513329938,0.005663145248392514
herding,mnli,xlnet-base-cased,1000,3000,1,42,0.0,128.2,accuracy,0.7385973849550008,0.005248362072053282,"[0.7415180845644421, 0.743046357615894, 0.7312277126846664]",,,0.7385973849550008,0.005248362072053282
herding,qqp,albert-base-v2,1,2,1,42,0.0,91.0,combined_score,,,"[0.5063849882160885, 0.48823080307009936, 0.49559333530827043]",0.49673637553148603,0.007455356700280654,0.49673637553148603,0.007455356700280654
herding,qqp,albert-base-v2,5,10,1,42,0.0,92.4,combined_score,,,"[0.595178339227949, 0.5437477068607329, 0.5744096153563674]",0.5711118871483497,0.021125557111760795,0.5711118871483497,0.021125557111760795
herding,qqp,albert-base-v2,10,20,1,42,0.0,93.2,combined_score,,,"[0.6304289295829, 0.6163693440713013, 0.6521648526762075]",0.6329877087768029,0.014725038139018896,0.6329877087768029,0.014725038139018896
herding,qqp,albert-base-v2,20,40,1,42,259.9,99.4,combined_score,,,"[0.6797394379808864, 0.6733866761287675, 0.6783639858480881]",0.6771633666525806,0.0027289204980358336,0.6771633666525806,0.0027289204980358336
herding,qqp,albert-base-v2,50,100,1,42,727.8,106.5,combined_score,,,"[0.6739752834392325, 0.6011467081291548, 0.6729490758221999]",0.6493570224635291,0.03409241442200588,0.6493570224635291,0.03409241442200588
herding,qqp,albert-base-v2,100,200,1,42,922.3,108.6,combined_score,,,"[0.681512408955244, 0.6645576989873503, 0.5658067551332246]",0.6372922876919397,0.05101961434210817,0.6372922876919397,0.05101961434210817
herding,qqp,albert-base-v2,500,1000,1,42,2544.2,107.0,combined_score,,,"[0.6134644329887943, 0.7513893421636153, 0.7509809943605517]",0.7052782565043204,0.06492239124979507,0.7052782565043204,0.06492239124979507
herding,qqp,albert-base-v2,1000,2000,1,42,4550.2,109.8,combined_score,,,"[0.7772735952620078, 0.7671053528468696, 0.7728349021520161]",0.7724046167536311,0.004162302855896084,0.7724046167536311,0.004162302855896084
herding,qqp,bert-base-uncased,1,2,1,42,653.2,87.4,combined_score,,,"[0.4925007412268436, 0.5658922028222335, 0.5337704771044499]",0.530721140384509,0.03003942409124585,0.530721140384509,0.03003942409124585
herding,qqp,bert-base-uncased,5,10,1,42,684.2,86.7,combined_score,,,"[0.6283595459882936, 0.5791903845021493, 0.6441425392048845]",0.6172308232317758,0.027659621023863032,0.6172308232317758,0.027659621023863032
herding,qqp,bert-base-uncased,10,20,1,42,599.1,75.7,combined_score,,,"[0.5894289190808091, 0.5747824550163783, 0.5760395089479167]",0.5800836276817013,0.0066280162767541504,0.5800836276817013,0.0066280162767541504
herding,qqp,bert-base-uncased,20,40,1,42,612.1,78.6,combined_score,,,"[0.6638655586131912, 0.6311770528746519, 0.6481194707105161]",0.6477206940661198,0.013348005318241787,0.6477206940661198,0.013348005318241787
herding,qqp,bert-base-uncased,50,100,1,42,748.5,84.6,combined_score,,,"[0.6678844766607203, 0.6617578599838274, 0.6510020494907065]",0.660214795378418,0.006978054794380023,0.660214795378418,0.006978054794380023
herding,qqp,bert-base-uncased,100,200,1,42,944.2,83.3,combined_score,,,"[0.6649735028047286, 0.6679343247939176, 0.6796564258984781]",0.670854751165708,0.0063400171024494785,0.670854751165708,0.0063400171024494785
herding,qqp,bert-base-uncased,500,1000,1,42,2569.5,82.6,combined_score,,,"[0.7366915763841948, 0.7280352279778446, 0.722361007674136]",0.729029270678725,0.005892503178152691,0.729029270678725,0.005892503178152691
